Business Name,State,City,Address,Jobs Retained,Date Approved
WEIDA FREIGHT SYSTEM INC.,Not Found,Not Found,"19360 VAN NESS AVE TORRANCE, CA 90501",25,2020-04-11
WEST TORRANCE PODIATRISTS GROUP INC,Not Found,Not Found,"2780 SKYPARK DR STE 100 TORRANCE, CA 90505",17,2020-05-03
WESTERN CAPITAL FINANCIAL SERVICES,Not Found,Not Found,"21250 Hawthorne Boulevard TORRANCE, CA 90503",Not Found,2020-06-16
"WEST END TENNIS AND RACQUET CLUB, INC.",Not Found,Not Found,"4343 SPENCER ST TORRANCE, CA 90503",Not Found,2020-04-12
"WESCO REALTY GROUP, INC.",Not Found,Not Found,"19106 South Normandie Avenue TORRANCE, CA 90502",52,2020-05-03
"WESLYNN MERIDIAN, INC.",Not Found,Not Found,"23530 HAWTHORNE BLVD 100 TORRANCE, CA 90505",17,2020-04-13
WELCH AND COMPANY ACCOUNTANCY CORPORATION,Not Found,Not Found,"25500 HAWTHORNE BLVD SUITE 2500 TORRANCE, CA 90274",0,2020-04-28
WDI INTERNATIONAL INC.,Not Found,Not Found,"21171 S. Western Ave. TORRANCE, CA 90501",500,2020-04-15
VS ATHLETICS,Not Found,Not Found,"1450 W 228TH STREET SUITE 8 TORRANCE, CA 90501",12,2020-04-11
VERMONT HEALTHCARE CENTER LLC,Not Found,Not Found,"22035 S VERMONT AVE TORRANCE, CA 90502",226,2020-04-04
VEGAS BUFFET (TORRANCE) INC,Not Found,Not Found,"3525 W CARSON ST #170 TORRANCE, CA 90503",29,2020-04-28
VENECIA INVESTMENTS INCORPORATED,Not Found,Not Found,"350 Crenshaw Blvd STEA105 TORRANCE, CA 90503",Not Found,2020-05-05
"VIE LOGISTICS, INCORPORATED",Not Found,Not Found,"4240 W 190TH ST SUITE B TORRANCE, CA 90504",63,2020-04-28
VEDAINFO INC,Not Found,Not Found,"3868 W Carson St Ste 204 TORRANCE, CA 90503",15,2020-04-30
VOXX PRODUCTS,Not Found,Not Found,"2255 DOMINGUEZ WAY TORRANCE, CA 90501",17,2020-05-01
"VECTOR RESOURCES, INC.",Not Found,Not Found,"20917 HIGGINS CT TORRANCE, CA 90501",302,2020-04-14
"VECTOR RESOURCES, INC.",Not Found,Not Found,"1811 Englewood Road #304 ENGLEWOOD, FL 34223",0,2020-04-06
"VAREDAN TECHNOLOGIES, LLC",Not Found,Not Found,"3860 DEL AMO BLVD #401 TORRANCE, CA 90503",12,2020-04-14
US HYBRID CORPORATION,Not Found,Not Found,"445 MAPLE AVE TORRANCE, CA 90503",32,2020-04-03
VAN LINGEN BODY SHOP INC,Not Found,Not Found,"2755 LOMITA BLVD TORRANCE, CA 90505",22,2020-04-27
"UNITED RESOURCES INFORMATION, INC.",Not Found,Not Found,"351 VAN NESS WAY #110 TORRANCE, CA 90501",23,2020-04-10
US PHARMATECH INC,Not Found,Not Found,"2927 Lomita Blvd. #A TORRANCE, CA 90505",45,2020-04-29
UNIVERSAL PROJECTS INCORPORATED,Not Found,Not Found,"1210 Knox Street TORRANCE, CA 90502",150,2020-05-03
UNIVERSAL PROJECTS INC.,Not Found,Not Found,"100 MIFFLIN DR WRIGHTSVILLE, PA 17368",142,2020-04-06
UNIFIED CARE SERVICES LLC,Not Found,Not Found,"2368 TORRANCE BLVD. SUITE 200 TORRANCE, CA 90501",0,2020-05-04
UAG SOUTHBAY LLC,Not Found,Not Found,"18600 HAWTHORNE BLVD TORRANCE, CA 90504",86,2020-04-03
TWO GUNS ESPRESSO WHOLESALE INC.,Not Found,Not Found,"4025 SPENCER ST UNIT 302 TORRANCE, CA 90503",16,2020-04-30
TRUXTONS AMERICAN BISTRO OF TORRANCE,Not Found,Not Found,"24530 Hawthorne Blvd. TORRANCE, CA 90505",30,2020-04-28
TRENDNET INC,Not Found,Not Found,"20675 Manhattan Place TORRANCE, CA 90501",59,2020-04-11
"TRUE LINE RAILING, INC",Not Found,Not Found,"23820 Hawthorne Blvd Ste 100 TORRANCE, CA 90505",3,2020-04-12
TRC EMPLOYER SERVICES INC.,Not Found,Not Found,"23001 Hawthorne Boulevard Suite 203 TORRANCE, CA 90505",80,2020-05-08
TROWE NET INC,Not Found,Not Found,"3720 Skypark Drive TORRANCE, CA 90505",27,2020-04-14
"TTA, INC.",Not Found,Not Found,"21171 WESTERN AVE TORRANCE, CA 90501",42,2020-04-30
"TRAVEL DESIGN USA, INC.",Not Found,Not Found,"20407 Hawthorne Blvd. TORRANCE, CA 90503",8,2020-04-27
TOTEX MANUFACTURING INC,Not Found,Not Found,"3050 LOMITA BLVD TORRANCE, CA 90505",69,2020-04-27
TOTAL MANAGEMENT SERVICES AMERICA INC,Not Found,Not Found,"21151 S Western Ave Suite 105 TORRANCE, CA 90501",15,2020-04-30
TOWER ENERGY GROUP,Not Found,Not Found,"1983 W. 190th Street TORRANCE, CA 90504",39,2020-04-07
"TOTAI AMERICA, INC.",Not Found,Not Found,"19675 Mariner Ave. TORRANCE, CA 90503",16,2020-04-14
TORRANCE ORTHOPEDIC AND SPORTS MEDICINE,Not Found,Not Found,"5215 torrance blvd suite 210 TORRANCE, CA 90503",90,2020-04-07
TORRANCE POST ACUTE LLC,Not Found,Not Found,"22520 Maple Ave TORRANCE, CA 90505",128,2020-04-27
"TRANSIENT PLASMA SYSTEMS, INC.",Not Found,Not Found,"1751 Torrance Blvd STE K 0.0 TORRANCE, CA 90501",8,2020-04-10
TOTAL CORPORATE SOLUTIONS INC,Not Found,Not Found,"20335 S WESTERN AVE TORRANCE, CA 90501",40,2020-04-28
"TORRANCE LOCK & KEY, INC.",Not Found,Not Found,"2421 Torrance Boulevard TORRANCE, CA 90501",18,2020-04-16
"TORRANCE ENDOSCOPY & SURGICAL AFFILIATES, INC.",Not Found,Not Found,"23441 Madison St. Ste 230 TORRANCE, CA 90505",38,2020-04-29
TORRANCE EDUCATION FOUNDATION,Not Found,Not Found,"20695 S Western Ave, Suite 136 TORRANCE, CA 90501",Not Found,2020-04-13
"TORRANCE CARE CENTER WEST, INC.",Not Found,Not Found,"4333 TORRANCE BLVD TORRANCE, CA 90503",239,2020-04-29
"TORRANCE CAR WASH,INC.",Not Found,Not Found,"2476 SEPULVEDA BLVD TORRANCE, CA 90501",20,2020-05-03
TORRANCE BAEKJEONG LLC,Not Found,Not Found,"1725 W CARSON ST #A TORRANCE, CA 90501",53,2020-04-07
TORRANCE BCD INC,Not Found,Not Found,"1607 SEPULVEDA BLVD TORRANCE, CA 90501",25,2020-04-14
"TORO NURSERY, INC.",Not Found,Not Found,"17585 CRENSHAW BLVD TORRANCE, CA 90504",47,2020-05-01
TORMED WOMEN'S MEDICAL GROUP INC,Not Found,Not Found,"3400 W LOMITA BLVD STE 602 TORRANCE, CA 90505",23,2020-04-30
"TK SERVICES, INC.",Not Found,Not Found,"23935 Madison Ct. TORRANCE, CA 90505",414,2020-04-11
"THERMAL OPERATING COMPANY, LLC",Not Found,Not Found,"1983 W. 190th Street, Suite 100 TORRANCE, CA 90504",89,2020-04-07
"THE VISIONARY GROUP, LLC",Not Found,Not Found,"18093 PRAIRIE AVE TORRANCE, CA 90504",53,2020-04-05
TOPWIN CORPORATION,Not Found,Not Found,"1808 ABALONE AVENUE TORRANCE, CA 90501",50,2020-04-30
TOP ARROWS INC,Not Found,Not Found,"21151 S. WESTERN AVE , TORRANCE, CA, 90501 TORRANCE, CA 90501",12,2020-06-26
"TOMBLIN ASSET MANAGEMENT GROUP, INC",Not Found,Not Found,"2501 W 237th Street, Suite E TORRANCE, CA 90505",19,2020-04-11
"TITAN LEGAL SERVICES, INC.",Not Found,Not Found,"2050 190TH ST Ste 200 TORRANCE, CA 90504",Not Found,2020-04-14
THE SWITZER CENTER FOR EDUCATIONAL THERAPY,Not Found,Not Found,"2201 Amapola Court TORRANCE, CA 90501",Not Found,2020-04-14
THE RUTH GROUP INC,Not Found,Not Found,"970 W 190TH STREET SUITE 110 TORRANCE, CA 90274",Not Found,2020-05-03
THE NEW GENERATION ENGINEERING CONSTRUTION INC.,Not Found,Not Found,"22815 Frampton Avenue TORRANCE, CA 90501",325,2020-04-30
"THE MORGAN PICKS GROUP, LLC",Not Found,Not Found,"20725 S WESTERN AVE STE 136 TORRANCE, CA 90501",18,2020-04-14
THE HOPSINT LLC,Not Found,Not Found,"5160 190TH ST W TORRANCE, CA 90503",45,2020-04-14
THE RUTH GROUP INC,Not Found,Not Found,"757 3RD AVE Fl 26 NEW YORK, NY 10017",13,2020-04-11
"THE LOTUS PET FOODS, INC.",Not Found,Not Found,"2727 Maricopa Street TORRANCE, CA 90503",18,2020-04-28
"THE ELY CO., INC",Not Found,Not Found,"3046 KASHIWA ST TORRANCE, CA 90505",34,2020-04-30
TECHNICAL DEVICES COMPANY,Not Found,Not Found,"560 ALASKA AVE TORRANCE, CA 90503",20,2020-04-11
TH CONSTRUCTION INC,Not Found,Not Found,"4531 HALISON ST TORRANCE, CA 90503",22,2020-04-29
TCW TRENDS INC,Not Found,Not Found,"2886 Columbia St TORRANCE, CA 90503",26,2020-05-03
TANAKA DENTAL LAB,Not Found,Not Found,"1617 Border Ave TORRANCE, CA 90501",14,2020-06-12
TERRY WHEELER DDS,Not Found,Not Found,"23560 Madison Street TORRANCE, CA 90505",22,2020-06-30
"TH P.W. COOKIE CO., INC.",Not Found,Not Found,"5641 Towers Street TORRANCE, CA 90503",Not Found,2020-04-09
"TERUKO WEINBERG, INC.",Not Found,Not Found,"21241 S. Western Avenue Ste. 150 TORRANCE, CA 90501",24,2020-04-28
"THE CENTER OF HOME HEALTH, INC.",Not Found,Not Found,"20705 S. WESTERN AVE, STE 216 TORRANCE, CA 90501",18,2020-04-28
"T2 TECHNOLOGY GROUP, LLC",Not Found,Not Found,"21250 HAWTHORNE BLVD STE 250 TORRANCE, CA 90503",23,2020-05-01
"T-Y NURSERY, INC",Not Found,Not Found,"5221 Arvada Street TORRANCE CA 90503 TORRANCE, CA 90503",320,2020-04-16
"TALMO &AMP; ASSOCIATES, INC.",Not Found,Not Found,"350 S Crenshaw Blvd. A204 TORRANCE, CA 90503",32,2020-05-03
SYSTEM TECHNICAL SUPPORT CORPORATION,Not Found,Not Found,"960 KNOX ST BLDG B TORRANCE, CA 90502",24,2020-04-14
SWEIS INC,Not Found,Not Found,"23760 Hawthorne Blvd TORRANCE, CA 90505",92,2020-04-30
TAKUYO CORPORATION,Not Found,Not Found,"2958 COLUMBIA ST TORRANCE, CA 90503",28,2020-04-10
TAKEE INTERNATIONAL INC,Not Found,Not Found,"20610 Manhattan Pl # 112 TORRANCE, CA 90501",130,2020-04-28
"TAKANE U.S.A., INC.",Not Found,Not Found,"369 VAN NESS WAY TORRANCE, CA 90501",22,2020-05-03
SURF MANAGEMENT INC,Not Found,Not Found,"357 VAN NESS WAY STE 100 TORRANCE, CA 90501",7,2020-04-30
SV PACKAGING LLC,Not Found,Not Found,"373 VAN NESS AVE STE 100 TORRANCE, CA 90501",17,2020-05-01
"SUN CHLORELLA USA, CORP.",Not Found,Not Found,"3305 Kashiwa St. TORRANCE, CA 90505",34,2020-04-29
SUN-FLOW INC,Not Found,Not Found,"20408 Earl Street TORRANCE, CA 90503",17,2020-04-27
STOSH INC,Not Found,Not Found,"2230 Amapola Ct 6 TORRANCE, CA 90501",17,2020-05-07
"STORM MANAGEMENT, INC.",Not Found,Not Found,"23223 NORMANDIE AVE TORRANCE, CA 90501",147,2020-04-27
"SUSHI BOY, INC.",Not Found,Not Found,"19401 S Vermont Ave Ste E102 TORRANCE, CA 90502",191,2020-05-01
SUPERIOR CARTAGE INC,Not Found,Not Found,"1560 W 190TH St TORRANCE, CA 90501",27,2020-04-13
STEWART FILMSCREEN CORP.,Not Found,Not Found,"1161 SEPULVEDA BLVD TORRANCE, CA 90502",83,2020-04-29
STELLAR AGENCY,Not Found,Not Found,"21515 Hawthorne Blvd., Suite 850 TORRANCE, CA 90503",7,2020-04-15
STEVEN E DAVIS MD INC,Not Found,Not Found,"20911 EARL ST STE 470 TORRANCE, CA 90503",16,2020-05-03
"STAN BURNS INSURANCE SERVICES,INC",Not Found,Not Found,"21061 Western Ave #110 TORRANCE, CA 90501",10,2020-04-14
"STEPHEN P. TASSONE DDS,INC",Not Found,Not Found,"25357 Crenshaw Blvd TORRANCE, CA 90505",17,2020-05-03
STEAMAN GROUP L.L.C.,Not Found,Not Found,"1010 CRENSHAW BLVD STE 200 TORRANCE, CA 90501",35,2020-05-03
ST. CATHERINE LABOURE SCHOOL,Not Found,Not Found,"3846 Redondo Beach Blvd. TORRANCE, CA 90504",40,2020-04-28
"STAR LINK COMPANY, INC",Not Found,Not Found,"3300 Fujita Street TORRANCE, CA 90505",14,2020-04-15
SPROUT II INVESTMENTS LLC,Not Found,Not Found,"3547 VOYAGER ST., #201 TORRANCE, CA 90503",16,2020-04-05
"SOUTHERN CALIFORNIA TENANT IMPROVEMENT, INC",Not Found,Not Found,"3433 AIRPORT DR TORRANCE, CA 90505",Not Found,2020-04-14
SOUTHERN CALIFORNIA TREE & LANDSCAPE,Not Found,Not Found,"939 West 223rd Street TORRANCE, CA 90502",49,2020-04-15
SOUTHWEST PIPELINE AND TRENCHLESS CORP,Not Found,Not Found,"22118 S VERMONT AVE TORRANCE, CA 90502",53,2020-04-29
SOUTHERN CALIFORNIA ICE COMPANY,Not Found,Not Found,"22191 LOCKNESS AVE TORRANCE, CA 90501",45,2020-04-15
SPORTS AND SPINE ORTHOPAEDICS,Not Found,Not Found,"23456 Hawthorne Boulevard Suite 200 TORRANCE, CA 90505",39,2020-04-14
ST JAMES SCHOOL EDUCATION FOUNDATION,Not Found,Not Found,"4625 GARNET ST TORRANCE, CA 90503",24,2020-05-03
SOUTHERN CALIFORNIA PAIN CONSULTANTS,Not Found,Not Found,"4201 torrance blvd #590 TORRANCE, CA 90503",10,2020-04-12
"SOUTH BAY HOME CARE, INC.",Not Found,Not Found,"370 CRENSHAW BLVD STE E106 TORRANCE, CA 90503",477,2020-05-01
"SOUTHBAY HEARING AND BALANCE CENTER,",Not Found,Not Found,"3734 SEPULVEDA BLVD TORRANCE, CA 90505",18,2020-05-03
"SOUTH END RACQUET AND HEALTH CLUB, INC.",Not Found,Not Found,"2800 Skypark Drive TORRANCE, CA 90505",40,2020-04-12
SOUTH BAY UROLOGY MEDICAL GROUP INC.,Not Found,Not Found,"20911 Earl Street TORRANCE, CA 90503",0,2020-04-29
SOUTH BAY FAMILY HEALTH CARE,Not Found,Not Found,"23430 HAWTHORNE BLVD TORRANCE, CA 90505",130,2020-04-08
SOUTH BAY GASTROENTEROLOGY MEDICAL GROUP,Not Found,Not Found,"23600 TELO AVENUE TORRANCE, CA 90505",104,2020-04-27
SOUTH BAY JUNIOR ACADEMY,Not Found,Not Found,"4400 Del Amo Avenue TORRANCE, CA 90503",19,2020-06-29
"SOUTH BAY HYUNDAI, LLC",Not Found,Not Found,"20433 HAWTHORNE BLVD TORRANCE, CA 90503",73,2020-04-13
"SOUTH BAY AQUATICS, INC.",Not Found,Not Found,"2433 MORETON ST TORRANCE, CA 90505",48,2020-04-11
SOUTH BAY ASSOCIATION OF REALTORS,Not Found,Not Found,"22833 ARLINGTON AVE TORRANCE, CA 90501",12,2020-06-30
SONSRAY MACHINERY LLC,Not Found,Not Found,"23935 MADISON ST TORRANCE, CA 90505",170,2020-04-27
SOUTH BAY SPORTS MEDICINE PHYSICAL THERAPY INC,Not Found,Not Found,"3878 WEST CARSON STREET TORRANCE, CA 90503",11,2020-04-16
SO CAL PRODUCT SOLUTIONS LLC,Not Found,Not Found,"2807 Oregon Ct Ste D-4 TORRANCE, CA 90503",37,2020-04-30
"SOLCOM, INC.",Not Found,Not Found,"558 AMAPOLA AVE TORRANCE, CA 90501",12,2020-05-03
SOS CO INC,Not Found,Not Found,"22912 LOCKNESS AVE TORRANCE, CA 90501",23,2020-05-01
"SOUTH BAY AUTO GROUP, LLC",Not Found,Not Found,"20626 HAWTHORNE BLVD TORRANCE, CA 90503",63,2020-04-13
SNAIDERO USA,Not Found,Not Found,"20300 S Vermont Ave Ste 125 TORRANCE, CA 90502",35,2020-04-14
"SHARP INDUSTRIES, INC.",Not Found,Not Found,"3501 CHALLENGER ST TORRANCE, CA 90503",20,2020-04-28
SKYLINE UROLOGY,Not Found,Not Found,"2927 LOMITA BLVD SUITE B TORRANCE, CA 90505",113,2020-04-09
SKYPARK PREFERRED FAMILY CARE MEDICAL CORP,Not Found,Not Found,"23451 Madison Street #140 TORRANCE, CA 90505",12,2020-04-30
SMOG CITY BREWING CO. LLC,Not Found,Not Found,"1901 Del Amo Boulevard TORRANCE, CA 90501",Not Found,2020-04-30
SHARENET CORPORATION,Not Found,Not Found,"1820 W Carson Street, Suite 223 TORRANCE, CA 90501",22,2020-04-28
"SHAVER SPECIALTY CO., INC.",Not Found,Not Found,"20608 EARL STREET TORRANCE, CA 90503",20,2020-04-30
"SEVILLE CLASSICS, INC.",Not Found,Not Found,"19401 Harborgate Way TORRANCE, CA 90501",72,2020-04-27
"SERVATIUS, O'BRIEN & FONG, LLP",Not Found,Not Found,"2377 CRENSHAW BLVD STE 320 TORRANCE, CA 90501",9,2020-04-13
SHACHIHATA INC (USA),Not Found,Not Found,"20775 S. Western Ave. Ste#105 TORRANCE, CA 90501",24,2020-04-30
"SEVEN CORNERS INSURANCE SOLUTIONS, INC.",Not Found,Not Found,"21241 S. Western Ave. Suite 250 TORRANCE, CA 90501",26,2020-04-28
SEQGEN INC,Not Found,Not Found,"1725 DEL AMO BLVD TORRANCE, CA 90501",14,2020-05-03
SERENITY RECUPERATIVE CARE INC,Not Found,Not Found,"19401 S. Vermont Ave J-105 TORRANCE, CA 90502",48,2020-06-01
SECUR SOLUTION INC.,Not Found,Not Found,"2421 West 205th Street TORRANCE, CA 90501",Not Found,2020-04-30
"SELECT SYSTEMS TECHNOLOGY, INC.",Not Found,Not Found,"390 AMAPOLA AVE STE 6 TORRANCE, CA 90501",13,2020-05-01
"SANTEC, INC.",Not Found,Not Found,"3501 CHALLENGER ST TORRANCE, CA 90503",38,2020-04-29
"SCOTT ROBINSON PONTIAC, INC",Not Found,Not Found,"20340 HAWTHORNE BLVD TORRANCE, CA 90503",199,2020-04-09
SANRITSU LOGISTICS AMERICA INC.,Not Found,Not Found,"385 VAN NESS AVE Suite 270 TORRANCE, CA 90501",14,2020-04-30
SCPS UNLIMITED LLC,Not Found,Not Found,"2807 Oregon Ct. Ste D-1 TORRANCE, CA 90503",37,2020-04-11
SDP VINYL INC.,Not Found,Not Found,"1730 W CARSON ST TORRANCE, CA 90501",40,2020-04-28
"SEA-CLEAR POOLS, INC.",Not Found,Not Found,"23316 Normandie Ave TORRANCE, CA 90502",10,2020-04-12
SCIENTIFIC REPAIR INC.,Not Found,Not Found,"20720 EARL ST TORRANCE, CA 90503",Not Found,2020-04-30
"SANDAN PLUMBING CO., INC.",Not Found,Not Found,"22760 Hawthorne Blvd., Suite 230 TORRANCE, CA 90505",12,2020-04-27
SANCHEZ BROTHERS PAVING CORP,Not Found,Not Found,"22328 Normandie Ave TORRANCE, CA 90502",16,2020-04-15
S.B.L. AUTO INC,Not Found,Not Found,"24777 CRENSHAW BLVD TORRANCE, CA 90505",118,2020-04-27
SALVATORES PLUMBING COMPANY INC,Not Found,Not Found,"20602 S. Normandie Ave TORRANCE, CA 90502",25,2020-04-29
"SACHI FUJITA, DDS, APC",Not Found,Not Found,"3440 LOMITA BLVD STE 340 TORRANCE, CA 90505",20,2020-05-03
"S WESTERN AVE MANAGEMENT, INC",Not Found,Not Found,"20801 S WESTERN AVE TORRANCE, CA 90501",35,2020-06-24
"SAGE GODDESS, INC.",Not Found,Not Found,"3830 DEL AMO BLVD, SUITE 102 TORRANCE, CA 90503",0,2020-04-04
RUSHER AIR CONDITIONING,Not Found,Not Found,"19626 NORMANDIE AVE TORRANCE, CA 90502",57,2020-04-12
"ROSSOCORSA, LLC",Not Found,Not Found,"23305 HAWTHORNE BLVD TORRANCE, CA 90505",14,2020-04-27
ROSSBERG & ROSSBERG INC.,Not Found,Not Found,"1341 EL Prado Ave TORRANCE, CA 90501",103,2020-04-28
RONIN PEST CONTROL INC,Not Found,Not Found,"2461 W 208TH ST STE 201 TORRANCE, CA 90501",14,2020-05-01
"RON'S BODY SHOP, INC.",Not Found,Not Found,"1420 CABRILLO AVE TORRANCE, CA 90501",Not Found,2020-04-14
ROGER M YAMASHIRO DDS A PROFESSIONAL COR,Not Found,Not Found,"1261 CABRILLO AVE STE 202 TORRANCE, CA 90501",17,2020-05-03
RICHARDSON KONTOGOURIS LLP,Not Found,Not Found,"2942 COLUMBIA ST TORRANCE, CA 90503",76,2020-04-28
ROBERT T SMITH INC.,Not Found,Not Found,"2746 Pacific Coast Hwy TORRANCE, CA 90505",0,2020-05-04
"RICHARD M BUTLIG MD, INC",Not Found,Not Found,"1727 CRENSHAW BLVD TORRANCE, CA 90501",24,2020-04-27
RIVIERA HEALTH CORPORATION,Not Found,Not Found,"3601 LOMITA BLVD TORRANCE, CA 90505",24,2020-04-15
RENEWED STRENGTH MEDICAL GROUP,Not Found,Not Found,"21707 HAWTHORNE BLVD TORRANCE, CA 90503",Not Found,2020-04-15
REMODEL USA,Not Found,Not Found,"2291 W 205TH ST STE 106 TORRANCE, CA 90501",25,2020-04-28
"RETAIL PRINT MEDIA, INC.",Not Found,Not Found,"2355 CRENSHAW BLVD STE 135 TORRANCE, CA 90501",8,2020-05-01
RE ACTIVE PHYSICAL THERAPY,Not Found,Not Found,"3848 W. Carson Street, Suite 110 TORRANCE, CA 90503",17,2020-04-29
RETINA MACULA INSTITUTE,Not Found,Not Found,"4201 Torrance Blvd Ste 220 TORRANCE, CA 90503",30,2020-04-11
"RARE COLLECTIBLES TV, LLC",Not Found,Not Found,"21213-B HAWTHORNE BLVD 344 TORRANCE, CA 90503",89,2020-05-01
REINHARDT BROTHER'S MARBLE TILE,Not Found,Not Found,"1450 W 228TH ST STE 17 TORRANCE, CA 90501",16,2020-05-04
RALPH E. AMES MACHINE WORKS,Not Found,Not Found,"2301 DOMINGUEZ WAY TORRANCE, CA 90501",65,2020-04-06
"RAMIN M. ROOHIPOUR, MD, INC.",Not Found,Not Found,"21250 Hawthorne Blvd 430 TORRANCE, CA 90503",14,2020-05-01
"RAMIN MIRHASHEMI, MD, A PROFESSIONAL CORPORATION",Not Found,Not Found,"23600 Telo Avenue Suite 250 TORRANCE, CA 90505",3,2020-04-29
RAIMONDO PETTIT GROUP,Not Found,Not Found,"21515 HAWTHORNE BLVD SUITE 1250 TORRANCE, CA 90503",48,2020-04-09
PULSE INSTRUMENTS COMPANY,Not Found,Not Found,"1234 FRANCISCO ST TORRANCE, CA 90502",12,2020-04-15
PURIFIED ENTERPRISES,Not Found,Not Found,"17252 Hawthorne Boulevard TORRANCE, CA 90504",Not Found,2020-06-05
PUCHE DENTAL LABORATORY,Not Found,Not Found,"1617 BORDER AVE TORRANCE, CA 90501",0,2020-06-05
RAINFOREST FLORA INC.,Not Found,Not Found,"19121 Hawthorne Blvd TORRANCE, CA 90503",32,2020-04-30
"POST INSURANCE SERVICES, INC.",Not Found,Not Found,"2356 TORRANCE BLVD STE 200 TORRANCE, CA 90501",13,2020-04-12
POST INSURANCE SERVICES INC.,Not Found,Not Found,"2315 S Cobalt Point Way MERIDIAN, ID 83642",16,2020-04-15
"PROFESSIONAL OUTSOURCING SOLUTIONS, INC.",Not Found,Not Found,"970 W 190TH ST STE 920 TORRANCE, CA 90502",39,2020-05-02
PRODUCTS ENGINEERING CORP,Not Found,Not Found,"2645 MARICOPA ST TORRANCE, CA 90503",56,2020-04-08
PPCA PROPERTIES INC.,Not Found,Not Found,"21515 HAWTHORNE BLVD Suite 1085 TORRANCE, CA 90503",Not Found,2020-04-28
"PRIVE CARE, INC.",Not Found,Not Found,"19500 NORMANDIE AVE TORRANCE, CA 90502",31,2020-04-29
"PRESERVATION PARTNERS MANAGEMENT GROUP, INC.",Not Found,Not Found,"21515 HAWTHORNE BLVD TORRANCE, CA 90503",183,2020-04-08
PROPRIETARY CONTROLS SYSTEMS CORPORATION,Not Found,Not Found,"3541 CHALLENGER ST TORRANCE, CA 90503",28,2020-04-28
PRECISION FIBERGLASS PRODUCTS,Not Found,Not Found,"3105 KASHIWA ST TORRANCE, CA 90505",18,2020-05-03
PRECISION FIBERGLASS PRODUCTS,Not Found,Not Found,"108 1ST ST N GROVE CITY, MN 56243",23,2020-04-05
"PIONEER THEATRES, INC.",Not Found,Not Found,"2500 & 2700 Redondo Beach TORRANCE, CA 90504",Not Found,2020-04-15
"POLYPEPTIDE LABORATORIES, INC",Not Found,Not Found,"365 Maple Ave TORRANCE, CA 90503",147,2020-04-28
POLYPEPTIDE LABORATORIES SAN DIEGO,Not Found,Not Found,"25928 Richville Dr TORRANCE, CA 90505",82,2020-04-15
PLASMA TECHNOLOGY INC.,Not Found,Not Found,"1754 CRENSHAW BLVD TORRANCE, CA 90501",164,2020-04-30
"PK HEALTHCARE SERVICES, INC.",Not Found,Not Found,"2275 TORRNCE BLD SUITE 101 TORRANCE, CA 90501",61,2020-04-27
PIEPER AND ASSOCIATES INCORPORATED,Not Found,Not Found,"19823 HAMILTON AVE TORRANCE, CA 90502",20,2020-04-09
"PLATINUM EMPIRE GROUP, INC",Not Found,Not Found,"2430 Amsler Street Suite B TORRANCE, CA 90505",135,2020-04-09
"PHYSICIANS CHOICE HOME HEALTH, INC.",Not Found,Not Found,"3220 SEPULVEDA BLVD TORRANCE, CA 90505",51,2020-05-03
PHYN LLC,Not Found,Not Found,"1855 DEL AMO BLVD TORRANCE, CA 90501",0,2020-05-05
"PHARMACO, INC.",Not Found,Not Found,"19500 NORMANDIE AVE TORRANCE, CA 90502",122,2020-04-28
PEDIATRIC THERAPY NETWORK,Not Found,Not Found,"1815 W. 213TH ST Suite 100 TORRANCE, CA 90501",197,2020-04-11
"PETTLER & MILLER, LLP",Not Found,Not Found,"3465 Torrance Blvd, Suite D TORRANCE, CA 90503",8,2020-04-16
"PHOTO SCIENCES, INCORPORATED",Not Found,Not Found,"2542 WEST 237TH ST TORRANCE, CA 90505",16,2020-04-09
"PETER B. SHIN,M.D.,INC",Not Found,Not Found,"23326 Hawthorne Blvd #140 TORRANCE, CA 90505",Not Found,2020-04-15
"PARTNER ENERGY, INC.",Not Found,Not Found,"680 Knox St, Ste 150 TORRANCE, CA 90502",51,2020-04-11
"PEARCE CONCRETE AND MASONRY, INC.",Not Found,Not Found,"4733 Torrance Blvd #896 TORRANCE, CA 90503",70,2020-04-29
"PAYROLL OUTSOURCING SOLUTIONS, INC.",Not Found,Not Found,"970 W. 190TH STREET, SUITE 920 TORRANCE, CA 90502",20,2020-04-28
"PDM, LLP",Not Found,Not Found,"3460 TORRANCE BLVD sUITE 200 TORRANCE, CA 90503",41,2020-04-14
PARADISE POOL AND SPA INC.,Not Found,Not Found,"2785 Pacific Coast Highway, E809 TORRANCE, CA 90505",37,2020-04-27
PACIFIC MEDICAL MANAGEMENT SERVICES,Not Found,Not Found,"371 Van Ness Way Ste 210 TORRANCE, CA 90501",0,2020-04-28
"PEDIATRIC MINDS MEDICAL CENTER, INC",Not Found,Not Found,"3524 Torrance Blvd, Ste 104 TORRANCE, CA 90503",26,2020-04-14
"PARKER HEARING INSTITUTE, A PROFESSIONAL CORPORATION",Not Found,Not Found,"4201 Torrance Blvd., Suite 140 TORRANCE, CA 90503",0,2020-04-28
"OSALO MEDICAL CLINIC, INC.",Not Found,Not Found,"3440 Lomita Blvd, Ste 320 TORRANCE, CA 90505",24,2020-04-28
"PACIFIC CENTURY CUSTOMS SERVICE, INC.",Not Found,Not Found,"2936 COLUMBIA ST TORRANCE, CA 90503",17,2020-04-10
